mode,load,0_alexnet-16,1_densenet201-4,2_vgg13-4
mps-uncap,0.6,3153.9588913714556,115.07119297976458,238.79730692702068
mig,0.6,3266.790810457229,111.55341723993168,245.1070057433152
mps-uncap,0.7,3796.907555996873,131.22976328198453,286.31582391169064
mig,0.7,3727.560231597889,132.81024685178699,281.6489916946089
mps-uncap,0.8,4290.447021199669,158.1598487786445,324.4209623587878
mig,0.8,4248.833166630738,156.31616339882575,328.23685644596
mps-uncap,0.9,4890.236793305805,169.65015344394274,364.0339320754717
mig,0.9,4790.52164368321,170.42103660863896,365.5057227002237
mps-uncap,1.0,5372.21468823666,175.1676848600971,396.76549316820734
mig,1.0,5312.3947631456385,194.72733565390857,401.2045594606579
mps-uncap,1.1,5771.837177047629,178.8361212596019,435.85748238795486
mig,1.1,5479.0558536271765,194.08907763125455,406.6148119412516
mps-uncap,1.2,6538.484703569962,164.855873633183,474.6441438369882
mig,1.2,5445.135134473559,194.26862504438253,406.7789549508365
mps-uncap,1.3,6402.977053867392,170.0738665074152,522.0660836249011
mig,1.3,5457.716474543654,196.40517732722546,406.5695276605618
