mode,load,0_alexnet-16,1_densenet201-4,2_vgg13-4
mps-uncap,0.6,3.8933753967285156,43.917179107666016,2.2661685943603516
mig,0.6,7.103252410888673,40.2369499206543,22.038173675537113
mps-uncap,0.7,3.9601802825927743,64.99896049499515,2.914571762084962
mig,0.7,10.626506805419933,54.75461483001714,30.781269073486328
mps-uncap,0.8,5.081248283386232,174.35603141784674,3.4608840942382812
mig,0.8,54.31675910949722,115.74664115905767,52.71639823913574
mps-uncap,0.9,6.7551612854003915,203.14786434173584,4.093694686889649
mig,0.9,856.6510677337645,223.10709953308105,173.6903190612793
mps-uncap,1.0,9.896159172058105,8352.481484413147,4.66437339782715
mig,1.0,2077.152132987976,884.19885635376,369.2514896392822
mps-uncap,1.1,26.980972290039077,15346.567106246948,5.990719795227051
mig,1.1,6254.3238162994385,5891.6882038116455,6894.4528341293335
mps-uncap,1.2,76.01618766784678,25155.434799194336,7.247304916381834
mig,1.2,12828.740429878235,15141.347932815552,13259.434843063354
mps-uncap,1.3,5433.291769027711,26467.37744808197,8.331871032714846
mig,1.3,17554.56130504608,17037.363529205322,18624.90038871765
