mode,load,0_densenet169-2,1_efficientnet_b5-4,2_resnet101-16
mps-uncap,0.8,0.012159347534179688,0.01049041748046875,0.011682510375976562
mps-uncap,0.9,0.01049041748046875,0.01239776611328125,0.011920928955078125
mps-uncap,1.0,0.011205673217773438,0.01239776611328125,0.013589859008789062
mps-uncap,0.5,0.012159347534179688,0.010728836059570312,0.010967254638671875
mps-uncap,0.6,0.010967254638671875,0.009298324584960938,0.011682510375976562
mps-uncap,0.7,0.011920928955078125,0.009775161743164062,0.010967254638671875
mps-uncap,0.1,0.015497207641601562,0.013828277587890625,0.01239776611328125
mps-uncap,0.2,0.01239776611328125,0.012874603271484375,0.01239776611328125
mps-uncap,0.3,0.012159347534179688,0.012636184692382812,0.01239776611328125
mps-uncap,0.4,0.012159347534179688,0.01239776611328125,0.010013580322265625
