mode,load,0_densenet161-8,1_mobilenet_v3_large-32,2_squeezenet1_0-4
mps-uncap,0.8,247.8983266125833,3199.257117913863,961.1642940542962
mps-uncap,0.9,278.4484420202323,3611.8149255586122,1098.310497049978
mps-uncap,1.0,305.601068568592,3911.387232098618,1194.6630497060173
mps-uncap,0.5,146.56794558748751,1949.5260127310812,608.3700565144178
mps-uncap,0.6,180.3911495466095,2384.1683723494502,729.8168858560501
mps-uncap,0.7,225.31372134646224,2696.5475719690758,853.0675762361376
mps-uncap,0.1,29.574657338356054,410.7292182269648,121.18283792289023
mps-uncap,0.2,60.031945937511125,770.3584125257017,240.629624966924
mps-uncap,0.3,91.9069406864291,1185.7123946124445,368.41370855294446
mps-uncap,0.4,132.3312408946031,1628.1656314444149,493.7415865230412
