mode,load,0_densenet161-8,1_mobilenet_v3_large-32,2_squeezenet1_0-4
mps-uncap,0.8,24.4107723236084,8.308696746826172,3.9026021957397456
mps-uncap,0.9,24.924755096435547,8.466100692749023,4.573965072631836
mps-uncap,1.0,25.47469139099121,8.628296852111816,4.712343215942383
mps-uncap,0.5,21.260738372802734,7.558465003967285,3.3446550369262704
mps-uncap,0.6,21.558165550231934,7.677030563354492,3.7212133407592787
mps-uncap,0.7,23.209333419799805,7.981443405151369,3.7221908569335938
mps-uncap,0.1,24.727153778076172,7.761240005493164,2.926015853881836
mps-uncap,0.2,24.905824661254883,7.566356658935547,2.8662204742431645
mps-uncap,0.3,23.319458961486816,7.518315315246583,3.1032562255859375
mps-uncap,0.4,19.913578033447262,7.681131362915039,3.378844261169434
