mode,load,0_densenet161-8,1_mobilenet_v3_large-32,2_squeezenet1_0-4
mps-uncap,0.8,25.594906806945797,9.187483787536623,5.353305339813233
mps-uncap,0.9,25.843143463134766,8.981165885925293,5.898089408874511
mps-uncap,1.0,26.238718032836914,9.019248485565186,5.979828834533692
mps-uncap,0.5,23.76659870147705,8.971097469329832,4.501233100891113
mps-uncap,0.6,23.142778873443604,9.047517776489258,4.98279809951782
mps-uncap,0.7,24.793295860290527,9.127836227416992,5.075407028198243
mps-uncap,0.1,26.543588638305664,8.319234848022461,3.629622459411621
mps-uncap,0.2,26.780233383178707,8.175201416015616,3.9237546920776363
mps-uncap,0.3,26.485722064971924,8.444738388061523,4.350934028625489
mps-uncap,0.4,24.560985565185547,8.764438629150387,4.681262969970704
