mode,load,0_densenet161-8,1_mobilenet_v3_large-32,2_squeezenet1_0-4
mps-uncap,0.8,5.273222923278809,4.083991050720215,0.9706020355224609
mps-uncap,0.9,17.37499237060547,7.867097854614258,4.409074783325195
mps-uncap,1.0,98.80566596984863,19.613146781921387,171.60820960998535
mps-uncap,0.5,0.05078315734863281,0.04458427429199219,0.04291534423828125
mps-uncap,0.6,0.053882598876953125,0.044465065002441406,0.04291534423828125
mps-uncap,0.7,0.14472007751464844,0.985264778137207,0.2014636993408203
mps-uncap,0.1,0.06258487701416016,0.055789947509765625,0.046253204345703125
mps-uncap,0.2,0.06341934204101562,0.049114227294921875,0.04410743713378906
mps-uncap,0.3,0.057697296142578125,0.04839897155761719,0.04315376281738281
mps-uncap,0.4,0.05340576171875,0.04887580871582031,0.04482269287109375
