mode,load,0_densenet161-4,1_efficientnet_b5-4,2_vgg13-16
mps-uncap,0.8,50.04466488435425,67.46596166099417,1360.7724755158083
mps-uncap,0.9,60.28006162545862,81.94941278241127,1512.733262043744
mps-uncap,1.0,65.48261119825364,80.25390876682488,1536.681294322837
mps-uncap,0.5,31.575881920799436,43.09319897698742,847.7682233385044
mps-uncap,0.6,40.59285054433139,52.50807463537411,1018.133748753771
mps-uncap,0.7,48.36995290519963,58.73177860181164,1190.0258043991585
mps-uncap,0.1,7.250667125335972,7.806744042880004,175.52751840268908
mps-uncap,0.2,12.700269391497761,16.953157040103704,321.75042666126177
mps-uncap,0.3,19.701975542548205,24.92896107427278,504.9165118351536
mps-uncap,0.4,26.618907261381565,33.400816385472126,697.333955859257
