mode,load,0_resnet101-32,1_efficientnet_b5-4,2_resnet101-4
mps-uncap,1.0,24.126529693603516,27.030467987060547,15.386104583740234
mig,1.0,40.26460647583008,15.318155288696289,10.96653938293457
