mode,load,0_resnet101-32,1_efficientnet_b5-4,2_resnet101-4
mps-uncap,1.0,26.363492012023926,34.265756607055664,22.727513313293457
mig,1.0,41.40424728393555,15.820288658142092,11.402630805969238
