mode,load,0_resnet101-32,1_efficientnet_b5-4,2_resnet101-4
mps-uncap,1.0,26.99822187423706,36.06118202209473,24.502184391021732
mig,1.0,43.2673454284668,16.553134918212884,11.93610668182373
