mode,load,0_resnet101-32,1_efficientnet_b5-4,2_resnet101-4
mps-uncap,1.0,37.4903678894043,46.822547912597656,36.86785697937012
mig,1.0,54.174184799194336,27.270793914794922,25.310754776000977
