mode,load,0_resnet101-32,1_efficientnet_b5-4,2_resnet101-4
mps-uncap,1.0,1233.7127778419,128.11791763796325,192.66873304946265
mig,1.0,779.3498116829569,255.87145013904598,354.1251626010885
