mode,load,0_resnet101-32,1_efficientnet_b5-4,2_resnet101-4
mps-uncap,1.0,25.923848152160645,30.64751625061035,20.948052406311035
mig,1.0,40.91382026672363,15.568971633911133,11.272907257080078
