mode,load,0_densenet121-32,1_efficientnet_b5-8,2_resnet18-16
mps-uncap,0.8,33.109188079833984,32.648491859436035,9.426593780517578
mps-uncap,0.9,33.26601982116699,33.165597915649414,10.41877269744873
mps-uncap,1.0,30.6673526763916,33.583736419677734,10.160303115844727
mps-uncap,0.5,28.401827812194824,28.172922134399414,7.604694366455078
mps-uncap,0.6,29.143428802490234,29.56380844116211,8.027100563049318
mps-uncap,0.7,30.054092407226562,31.81390762329102,9.172391891479492
mps-uncap,0.1,27.93898582458496,32.97996520996094,5.384087562561035
mps-uncap,0.2,26.503705978393555,27.528047561645508,6.136083602905273
mps-uncap,0.3,27.723073959350586,27.007269859313965,6.13265037536621
mps-uncap,0.4,27.18379497528076,26.544189453125004,7.136774063110352
