mode,load,0_resnet18-32,1_vgg11-16,2_vgg19-16
mps-uncap,0.8,94.13006782531734,74.14988279342646,126.17868423461948
mps-uncap,0.9,178.25961112976003,178.1081175804138,514.358036518097
mps-uncap,1.0,569.5021748542786,565.2620434761047,391.20873928070057
mps-uncap,0.5,30.94693183898931,28.656377792358413,52.303159236907824
mps-uncap,0.6,45.1932716369629,39.75621223449696,50.87516784667968
mps-uncap,0.7,51.73143148422241,48.4103894233703,76.7804026603699
mps-uncap,0.1,13.316540718078608,12.802572250366207,19.92260456085205
mps-uncap,0.2,17.53308057785034,15.237159729003912,27.0615816116333
mps-uncap,0.3,20.576505661010742,17.09336757659912,28.42740058898924
mps-uncap,0.4,23.57643842697142,21.6632604598999,35.73224067687989
