mode,load,0_resnet18-32,1_vgg11-16,2_vgg19-16
mps-uncap,0.8,23.83880615234375,14.247632026672363,23.15688133239746
mps-uncap,0.9,24.885940551757816,15.174412727355957,23.594999313354492
mps-uncap,1.0,25.473594665527344,15.837669372558594,24.19257164001465
mps-uncap,0.5,15.291833877563482,11.940336227416992,18.694782257080075
mps-uncap,0.6,17.781877517700195,12.397336959838869,19.794702529907227
mps-uncap,0.7,21.53458595275879,13.294744491577148,21.328210830688477
mps-uncap,0.1,5.655860900878908,6.375694274902345,14.978694915771486
mps-uncap,0.2,9.041357040405273,7.47385025024414,15.004873275756836
mps-uncap,0.3,10.961294174194338,9.859323501586914,16.32919311523437
mps-uncap,0.4,13.129997253417967,10.844111442565914,17.32778549194336
