mode,load,0_inception_v3-2,1_vgg11-16,2_vgg16-32
mps-uncap,0.8,164.2739295959473,104.05420780181882,192.1428489685058
mps-uncap,0.9,406.92360877990717,198.2017040252685,391.7973947525023
mps-uncap,1.0,5371.687901020049,1006.1456680297852,1944.0928173065147
mps-uncap,0.5,38.63553762435921,26.601903438568115,52.55329132080086
mps-uncap,0.6,102.16228485107409,37.85798311233535,75.42550802230815
mps-uncap,0.7,122.70945549011222,60.257165431976496,102.43096351623564
mps-uncap,0.1,7.458972930908198,4.0697455406188965,15.084714889526365
mps-uncap,0.2,3.1760025024415226,8.00046920776367,16.523118019103993
mps-uncap,0.3,9.873933792114286,10.098378658294667,32.12813377380372
mps-uncap,0.4,23.540158271789554,16.01839542388912,35.95113754272463
