mode,load,0_inception_v3-2,1_vgg11-16,2_vgg16-32
mps-uncap,0.8,20.02676410645127,761.0883438686468,1001.6462547220409
mps-uncap,0.9,25.260338067422904,879.4025495677364,1090.325190291951
mps-uncap,1.0,26.60083560284253,964.6118708181664,1212.2749424140422
mps-uncap,0.5,13.330204657383398,469.8387948013203,607.5431949490611
mps-uncap,0.6,16.899192828768996,575.4540672836622,727.8235703158018
mps-uncap,0.7,18.877195858393037,669.4861976588076,850.8381492380389
mps-uncap,0.1,2.380518989549966,93.8033998492902,104.66204246000213
mps-uncap,0.2,5.870889509493794,195.0407238811478,234.31952726013728
mps-uncap,0.3,7.802260395955724,299.5376709619033,338.55731730431285
mps-uncap,0.4,11.713361466598226,377.52500499619646,480.1505785877821
