mode,load,0_densenet121-8,1_mobilenet_v3_large-16,2_vgg19-8
mps-uncap,0.8,208.14951763718028,1189.3922233971873,771.9850319783983
mps-uncap,0.9,225.012270317643,1327.7798767805914,836.6871350809304
mps-uncap,1.0,249.74951863646285,1286.7724845328062,877.2531966946726
mps-uncap,0.5,126.36863921506347,745.766541770729,486.0483213330143
mps-uncap,0.6,152.54983121451212,892.7795768080487,579.9932452752147
mps-uncap,0.7,175.18994542871738,1018.7149149997102,654.3762543238075
mps-uncap,0.1,24.05810151909959,140.8449032317642,92.61528115493878
mps-uncap,0.2,49.86115734025675,287.9732256673389,195.6984048939644
mps-uncap,0.3,74.91801713071519,448.54251046547165,288.55327932221934
mps-uncap,0.4,100.58347926197796,604.3704414213724,376.6456800241575
