mode,load,0_densenet121-8,1_mobilenet_v3_large-16,2_vgg19-8
mps-uncap,0.8,261.9125938415529,117.44947433471678,157.6775932312012
mps-uncap,0.9,554.323329925537,289.62594747543335,283.3025741577148
mps-uncap,1.0,417.97244071960444,8217.349846363068,4585.684773921967
mps-uncap,0.5,54.1672706604004,36.079001426696856,33.49935054779053
mps-uncap,0.6,63.170957565307816,42.27201461791992,41.5651774406433
mps-uncap,0.7,103.73687744140625,49.35961961746216,52.07450389862061
mps-uncap,0.1,49.99411582946777,26.00280284881591,19.73450660705565
mps-uncap,0.2,42.4435162544251,26.551542282104563,18.02135705947878
mps-uncap,0.3,43.18513870239257,26.863727569580075,22.183685302734403
mps-uncap,0.4,45.1551628112793,26.428513526916504,24.16680097579956
