mode,load,0_densenet121-2,1_densenet161-2,2_resnet34-8
mps-uncap,0.8,15747.598628997803,11161.38531208038,58.52438926696778
mps-uncap,0.9,20122.02699184418,16547.99913406372,85.39081573486344
mps-uncap,1.0,25447.137486934662,20415.237805843353,1631.3052892684937
mps-uncap,0.5,225.14775991439782,172.59806632995605,17.487037181854216
mps-uncap,0.6,1957.9898595809937,283.2860517501831,20.1687812805176
mps-uncap,0.7,11527.021079063416,6228.81718158722,25.389015674591068
mps-uncap,0.1,41.04914665222168,49.498436450958245,16.240012645721407
mps-uncap,0.2,43.57049465179448,52.05017566680933,17.65600204467774
mps-uncap,0.3,58.490772247314176,60.45487403869628,14.291222095489516
mps-uncap,0.4,91.0008525848388,82.03333139419554,15.543317794799815
