mode,load,0_densenet121-2,1_densenet161-2,2_resnet34-8
mps-uncap,0.8,7837.0606899261475,5651.564359664917,7.104158401489258
mps-uncap,0.9,10888.702392578125,8928.148984909058,9.63449478149414
mps-uncap,1.0,12853.856682777405,10253.078937530518,1360.6624603271484
mps-uncap,0.5,29.609084129333496,16.47663116455078,0.5360841751098633
mps-uncap,0.6,1132.0894956588745,45.74239253997803,1.56402587890625
mps-uncap,0.7,6685.26029586792,2433.303475379944,2.633810043334961
mps-uncap,0.1,0.031232833862304688,0.031113624572753906,0.028371810913085938
mps-uncap,0.2,0.029087066650390625,0.027894973754882812,0.023126602172851562
mps-uncap,0.3,1.1851787567138672,0.028133392333984375,0.018358230590820312
mps-uncap,0.4,9.524822235107422,5.425453186035156,0.021219253540039062
