mode,load,0_densenet121-2,1_densenet161-2,2_resnet34-8
mps-uncap,0.8,165.3862376107925,120.4799118783653,1758.3246432979877
mps-uncap,0.9,163.2799054881839,119.24201214096117,1971.672554949721
mps-uncap,1.0,160.79667202003827,117.30296025803655,2144.2835374710066
mps-uncap,0.5,141.12173750408775,90.05149073766817,1088.1865689608376
mps-uncap,0.6,161.5036070906568,107.50648319014947,1295.2405255676483
mps-uncap,0.7,159.43304601693924,115.75764179048174,1489.8637605338884
mps-uncap,0.1,26.886030424597024,19.44800885146386,222.05658494492658
mps-uncap,0.2,56.24096039399971,34.43067797055674,436.40262663132785
mps-uncap,0.3,81.76325177046496,52.39402435738762,635.2632859187129
mps-uncap,0.4,112.6128798526231,68.76598713977413,857.7313119388469
