mode,load,0_densenet161-2,1_densenet161-32,2_efficientnet_b7-16
mps-uncap,0.8,0.012636184692382812,0.012636184692382812,0.01239776611328125
mps-uncap,0.9,0.012874603271484375,0.012874603271484375,0.014066696166992188
mps-uncap,1.0,0.0152587890625,0.0152587890625,0.0133514404296875
mps-uncap,0.5,0.012874603271484375,0.012159347534179688,0.011682510375976562
mps-uncap,0.6,0.012636184692382812,0.01239776611328125,0.010728836059570312
mps-uncap,0.7,0.01239776611328125,0.012159347534179688,0.011920928955078125
mps-uncap,0.1,0.016927719116210938,0.012874603271484375,0.013113021850585938
mps-uncap,0.2,0.013589859008789062,0.012636184692382812,0.01239776611328125
mps-uncap,0.3,0.012636184692382812,0.012874603271484375,0.01239776611328125
mps-uncap,0.4,0.012874603271484375,0.012159347534179688,0.0133514404296875
