mode,load,0_densenet161-2,1_densenet161-32,2_efficientnet_b7-16
mps-uncap,0.8,35.95179990818034,446.7523375744988,247.59584068844148
mps-uncap,0.9,40.472727294935446,521.0306253332963,259.32233086122704
mps-uncap,1.0,41.70459147512944,549.2330303407709,248.42778527172106
mps-uncap,0.5,23.749892796723774,292.0494807879248,152.41369094561276
mps-uncap,0.6,28.486113102605113,344.0941887117301,182.2424785686305
mps-uncap,0.7,30.569639027636388,386.6464137925755,218.93228655238156
mps-uncap,0.1,4.099575406545839,54.995421151848525,32.78377835753124
mps-uncap,0.2,8.851396020031654,101.35183392889897,59.305070108407875
mps-uncap,0.3,14.363760390618125,159.48731029687568,89.68710751063725
mps-uncap,0.4,18.658831953202487,219.91567476351113,119.64700691905625
