mode,load,0_densenet161-2,1_densenet161-32,2_efficientnet_b7-16
mps-uncap,0.8,16.46900177001953,32.87649154663086,28.41496467590332
mps-uncap,0.9,16.514301300048828,33.77056121826172,29.104232788085938
mps-uncap,1.0,16.678810119628906,35.61687469482422,29.413223266601562
mps-uncap,0.5,16.340017318725586,32.82475471496582,28.476238250732422
mps-uncap,0.6,16.130924224853516,32.829999923706055,28.5036563873291
mps-uncap,0.7,16.400814056396484,32.66739845275879,28.16486358642578
mps-uncap,0.1,16.58344268798828,34.35921669006348,28.94425392150879
mps-uncap,0.2,16.248464584350586,32.51910209655762,28.100252151489258
mps-uncap,0.3,16.16668701171875,32.63521194458008,28.319835662841797
mps-uncap,0.4,16.365766525268555,32.941341400146484,28.167247772216797
