mode,load,0_squeezenet1_0-32,1_alexnet-4,2_mobilenet_v2-4
mps-uncap,1.0,9.877099990844727,4.652738571166992,7.729759216308594
mig,1.0,15.270662307739258,2.081632614135742,4.519991874694822
