mode,load,0_squeezenet1_0-32,1_alexnet-4,2_mobilenet_v2-4
mps-uncap,1.0,0.005245208740234375,0.007152557373046875,0.000476837158203125
mig,1.0,0.003814697265625,0.0069141387939453125,0.007152557373046875
