mode,load,0_squeezenet1_0-32,1_alexnet-4,2_mobilenet_v2-4
mps-uncap,1.0,3650.7514101292213,1720.8180261835307,659.090420675615
mig,1.0,2443.5849144762556,2279.74663748615,977.989175983218
