mode,load,0_squeezenet1_0-32,1_alexnet-4,2_mobilenet_v2-4
mps-uncap,1.0,7.541179656982422,0.8623600006103516,4.065275192260742
mig,1.0,12.111663818359375,1.6107559204101562,3.9794445037841797
