mode,load,0_squeezenet1_0-32,1_alexnet-4,2_mobilenet_v2-4
mps-uncap,1.0,8.710145950317383,2.0880699157714844,6.504535675048828
mig,1.0,12.996196746826172,1.7101764678955078,4.036426544189453
