mode,load,0_resnet18-16,1_resnet18-8,2_vgg19-16
mps-uncap,0.6,1788.1359345956405,1065.2349647042756,221.4778990801678
mig,0.6,1776.5918688983568,1064.2590853089703,233.9799564643071
mps-uncap,0.7,2075.7981189656366,1218.2376004329096,255.54456673204635
mig,0.7,2093.0714469099703,1234.9118994955795,265.5428866159626
mps-uncap,0.8,2367.4263183315334,1426.3003197356102,296.4352332497515
mig,0.8,2340.336539455662,1405.158220837513,310.458360587574
mps-uncap,0.9,2670.962301684322,1585.4972304190321,333.5564498264601
mig,0.9,2673.05547379139,1588.5238518286203,333.35683529448016
mps-uncap,1.0,3001.049954902088,1763.1784751181503,376.4444699089537
mig,1.0,2983.827777623703,1765.967699471411,379.3961646791371
mps-uncap,1.1,3011.134320419638,1881.1630865503496,429.29713299298896
mig,1.1,3029.783256086468,1792.5526070506512,380.20525647717653
mps-uncap,1.2,2928.2379077345304,1828.1996781987843,452.8995790376384
mig,1.2,3022.853959767602,1792.8409371428922,379.8954493388408
mps-uncap,1.3,2850.9401454214844,1653.2537517378803,500.5026111642749
mig,1.3,3012.85817691923,1786.2718554954304,380.3526416390696
