mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,6.268501281738281,3.969430923461914,1.7402172088623047
mps-uncap,0.9,6.953001022338867,4.397869110107422,1.898050308227539
mps-uncap,1.0,6.749153137207031,4.219770431518555,1.722574234008789
mps-uncap,0.5,6.204128265380859,4.0130615234375,1.7383098602294922
mps-uncap,0.6,6.202936172485352,4.037380218505859,1.7414093017578125
mps-uncap,0.7,6.22248649597168,3.940582275390625,1.726388931274414
mps-uncap,0.1,7.625341415405273,4.853963851928711,1.9068717956542969
mps-uncap,0.2,6.227731704711914,4.116058349609375,1.7693042755126953
mps-uncap,0.3,6.236553192138672,3.9567947387695312,1.7330646514892578
mps-uncap,0.4,6.233692169189453,3.9882659912109375,1.733541488647461
