mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,9.300827980041504,5.846142768859863,3.206968307495117
mps-uncap,0.9,9.550333023071289,7.128238677978516,3.449678421020508
mps-uncap,1.0,9.558916091918945,7.1563720703125,3.645658493041992
mps-uncap,0.5,8.334755897521973,4.81724739074707,2.310633659362793
mps-uncap,0.6,8.519887924194336,4.668951034545898,2.5904178619384766
mps-uncap,0.7,9.161949157714844,4.70280647277832,2.94339656829834
mps-uncap,0.1,9.658575057983398,9.110808372497559,2.4830102920532227
mps-uncap,0.2,9.290814399719238,8.703351020812988,2.348661422729492
mps-uncap,0.3,8.937597274780273,7.044076919555664,2.3288726806640625
mps-uncap,0.4,8.476972579956055,5.602598190307617,2.161264419555664
