mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,10.204648971557623,7.922863960266113,6.276202201843263
mps-uncap,0.9,9.82065200805664,8.493232727050783,6.538677215576172
mps-uncap,1.0,9.816598892211914,8.438491821289062,6.564092636108399
mps-uncap,0.5,10.975003242492676,6.9646835327148455,5.116796493530273
mps-uncap,0.6,10.944128036499023,6.785798072814942,5.44764995574951
mps-uncap,0.7,10.995054244995117,6.965065002441407,5.8599233627319345
mps-uncap,0.1,10.741567611694336,9.495854377746582,2.9237985610961914
mps-uncap,0.2,10.258269309997559,9.605550765991211,3.4881591796875004
mps-uncap,0.3,10.812520980834961,8.967447280883789,4.482030868530273
mps-uncap,0.4,11.108207702636719,7.629060745239258,4.896640777587891
