mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,25.333404541015625,23.42689037322998,8.391618728637695
mps-uncap,0.9,114.45140838623047,3854.1195392608643,781.6722393035889
mps-uncap,1.0,2209.6261978149414,6929.728031158447,4232.843637466431
mps-uncap,0.5,10.62309741973877,6.594657897949219,2.999424934387207
mps-uncap,0.6,12.387275695800781,7.12275505065918,3.6312341690063477
mps-uncap,0.7,16.903400421142578,8.787155151367188,5.082249641418457
mps-uncap,0.1,9.78398323059082,9.268641471862793,2.534627914428711
mps-uncap,0.2,9.541511535644531,9.421229362487793,2.4008750915527344
mps-uncap,0.3,9.581327438354492,8.076906204223633,2.412557601928711
mps-uncap,0.4,9.848594665527344,6.940364837646484,2.391815185546875
