mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,13.683319091796875,9.899377822875977,7.378101348876953
mps-uncap,0.9,13.33761215209961,9.986400604248047,7.132291793823242
mps-uncap,1.0,12.420892715454102,9.822607040405273,7.844686508178711
mps-uncap,0.5,14.162778854370117,10.07533073425293,7.489681243896484
mps-uncap,0.6,14.723777770996094,9.368658065795898,7.691621780395508
mps-uncap,0.7,14.575004577636719,9.252071380615234,7.526159286499023
mps-uncap,0.1,15.05732536315918,12.154579162597656,7.484912872314453
mps-uncap,0.2,16.40915870666504,12.101173400878906,7.537603378295898
mps-uncap,0.3,14.842510223388672,13.07368278503418,7.302045822143555
mps-uncap,0.4,17.91667938232422,12.383460998535156,10.454177856445312
