mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,6.234407424926758,3.919839859008789,1.7175674438476562
mps-uncap,0.9,6.39796257019043,4.044055938720703,1.8639564514160156
mps-uncap,1.0,6.733179092407227,4.008054733276367,1.7108917236328125
mps-uncap,0.5,6.181955337524414,3.9777755737304688,1.7237663269042969
mps-uncap,0.6,6.189584732055664,4.011869430541992,1.7261505126953125
mps-uncap,0.7,6.198406219482422,3.912687301635742,1.7099380493164062
mps-uncap,0.1,7.5893402099609375,4.097461700439453,1.8723011016845703
mps-uncap,0.2,6.2122344970703125,4.023313522338867,1.745462417602539
mps-uncap,0.3,6.212949752807617,3.9060115814208984,1.7185211181640625
mps-uncap,0.4,6.2160491943359375,3.9627552032470703,1.7139911651611328
