mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,112.54835367202762,114.03633356094417,56.73958539962771
mps-uncap,0.9,308.229103088379,8249.066753387451,2112.31059551239
mps-uncap,1.0,4428.495182991028,13014.591398239136,8066.673765182495
mps-uncap,0.5,33.05637836456293,21.60337448120119,12.564036846160896
mps-uncap,0.6,47.48992919921903,26.700463294982885,14.72067594528198
mps-uncap,0.7,73.84445190429699,43.53557109832765,23.092448711395285
mps-uncap,0.1,18.312172889709476,18.64309310913085,6.063666343688965
mps-uncap,0.2,22.57273435592651,24.16197538375855,7.07165718078612
mps-uncap,0.3,25.134716033935504,23.4406089782715,8.988094329833983
mps-uncap,0.4,28.830027580261238,21.601428985595675,10.92967987060545
