mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,164.9031639099121,151.8690586090088,72.95417785644531
mps-uncap,0.9,388.4265422821045,8439.754009246826,2144.829750061035
mps-uncap,1.0,4478.270053863525,13126.542091369629,8203.99522781372
mps-uncap,0.5,55.242061614990234,34.62529182434082,25.12049674987793
mps-uncap,0.6,70.27864456176758,44.097900390625,30.31134605407715
mps-uncap,0.7,97.34582901000977,61.87582015991211,39.263010025024414
mps-uncap,0.1,24.040699005126953,27.196168899536133,8.50534439086914
mps-uncap,0.2,29.64019775390625,28.3203125,11.493682861328125
mps-uncap,0.3,36.05246543884277,33.19740295410156,15.51508903503418
mps-uncap,0.4,38.96498680114746,38.03658485412598,19.843339920043945
