mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,103.45606565475467,108.23206663131714,52.43280172348024
mps-uncap,0.9,298.7373352050781,8242.949862480164,2108.0319356918335
mps-uncap,1.0,4419.270119667053,13007.327814102173,8061.01146221161
mps-uncap,0.5,24.902486801147447,16.50113105773928,9.052546024322515
mps-uncap,0.6,37.84084320068374,21.458113193511917,11.139540672302244
mps-uncap,0.7,64.64341163635255,37.66994476318361,19.10593271255494
mps-uncap,0.1,8.561191558837901,9.443664550781214,2.3064303398132324
mps-uncap,0.2,13.66438627243042,16.570878028869636,3.3249926567077543
mps-uncap,0.3,16.06669902801513,16.486330032348636,5.6018829345703045
mps-uncap,0.4,20.592989921569835,15.916509628295842,7.076621055603026
