mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,2884.802883549827,605.1345373294148,386.59651907099294
mps-uncap,0.9,3285.1751045388028,594.1184221206695,442.3278024089722
mps-uncap,1.0,3344.9618479707224,592.1511178978511,434.04652318689097
mps-uncap,0.5,1824.025256514147,376.4880568824549,244.91521924900002
mps-uncap,0.6,2165.2933568987555,454.3255278086827,291.9963983053861
mps-uncap,0.7,2552.848092655253,523.821202158628,343.422334709256
mps-uncap,0.1,344.3812380873561,75.26766017738709,50.29323287953592
mps-uncap,0.2,712.8362736927369,148.63981534660468,98.91760273587818
mps-uncap,0.3,1098.4609159462855,219.87957208167495,149.32499253447637
mps-uncap,0.4,1414.907741201567,293.7874611816579,198.1503453932955
