mode,load,0_mobilenet_v2-32,1_mobilenet_v2-4,2_vgg13-2
mps-uncap,0.8,155.5171012878418,144.2880630493164,69.15903091430664
mps-uncap,0.9,378.185510635376,8431.741714477539,2138.223171234131
mps-uncap,1.0,4471.48585319519,13120.5575466156,8197.507858276367
mps-uncap,0.5,48.81429672241211,29.82187271118164,21.912097930908203
mps-uncap,0.6,63.49802017211914,40.00663757324219,27.459383010864258
mps-uncap,0.7,87.60881423950195,56.920528411865234,36.100149154663086
mps-uncap,0.1,13.756990432739258,17.993688583374023,4.908323287963867
mps-uncap,0.2,21.361589431762695,23.979902267456055,8.717536926269531
mps-uncap,0.3,29.26182746887207,25.2840518951416,11.344194412231445
mps-uncap,0.4,29.708385467529297,30.889511108398438,16.872882843017578
