mode,load,0_resnet152-2,1_resnet152-2,2_resnet152-2,3_resnet152-2
mig,0.1,19.89094518523562,21.162721885560746,21.190745833773903,12.573321811982636
mig,0.2,43.20652237194331,42.79071168704023,42.12121388109533,25.561514474420722
mig,0.3,65.5776016257768,60.966879975702305,63.87629297003204,37.343480314764925
mig,0.4,88.65349258642672,82.84980950354839,81.5576035512904,47.70158686102214
mig,0.5,106.83151349828907,111.14945500930838,104.99757002299903,61.94888394575935
mig,0.6,127.09462117517354,130.20234975590753,127.86910495944913,75.1017864173066
mig,0.7,143.40409502738086,143.16083384002462,140.8921682316141,84.86472314646558
mig,0.8,142.9233990244741,144.17993139434694,143.95192355146713,100.6377049831985
mig,0.9,143.63837281917384,141.95825010606455,142.3796808417813,110.55073689192952
mig,1.0,145.02163710553776,143.84550879961125,145.35835926435223,119.54203178305374
