mode,load,0_mobilenet_v2-32,1_densenet121-8,2_resnet18-4
mps-uncap,1.0,3431.2969592688014,423.2650412371786,1066.3722455912653
mig,1.0,2622.850741489138,540.722622416545,1437.0991570144954
