mode,load,0_mobilenet_v2-32,1_densenet121-8,2_resnet18-4
mps-uncap,1.0,10.177826881408691,19.845199584960938,6.139516830444336
mig,1.0,12.648439407348631,15.054702758789062,2.8955936431884766
