mode,load,0_mobilenet_v2-32,1_densenet121-8,2_resnet18-4
mps-uncap,1.0,9.349465370178223,18.915891647338867,2.929091453552246
mig,1.0,12.099742889404297,14.73093032836914,2.7396678924560547
