mode,load,0_mobilenet_v2-2,1_resnet34-8,2_vgg19-8
mps-uncap,0.8,264.23739836351325,517.2599048103881,825.1852270491465
mps-uncap,0.9,296.6059127097664,598.4276473600122,943.211752091664
mps-uncap,1.0,285.1347803649993,688.4579871413533,960.7315867948389
mps-uncap,0.5,162.31353465001786,343.3883667780551,551.6059534915694
mps-uncap,0.6,193.32252208601577,395.54249469830495,612.3366759186716
mps-uncap,0.7,222.55563894100882,476.939487638061,740.6058290948831
mps-uncap,0.1,33.223290972755024,67.15667460667338,103.21302474878527
mps-uncap,0.2,63.209420192043375,138.32984605504444,211.93937969722666
mps-uncap,0.3,96.85130402748894,202.73470308872564,322.50108084016136
mps-uncap,0.4,131.4873760107729,273.6474321211035,425.2102062307011
