mode,load,0_mobilenet_v3_small-2,1_resnet101-2,2_squeezenet1_0-8
mps-uncap,0.8,4.067182540893555,9.124040603637695,1.9614696502685547
mps-uncap,0.9,4.232883453369141,9.124994277954102,2.104043960571289
mps-uncap,1.0,4.263401031494141,9.33527946472168,2.3026466369628906
mps-uncap,0.5,4.067420959472656,8.952617645263672,1.8706321716308594
mps-uncap,0.6,4.036664962768555,8.968830108642578,1.9366741180419922
mps-uncap,0.7,4.164218902587891,9.005069732666016,1.8672943115234375
mps-uncap,0.1,4.011392593383789,9.020328521728516,1.9919872283935547
mps-uncap,0.2,3.957033157348633,8.864402770996094,1.9631385803222656
mps-uncap,0.3,3.962993621826172,8.890390396118164,1.9156932830810547
mps-uncap,0.4,4.006624221801758,9.036779403686523,1.8775463104248047
