mode,load,0_mobilenet_v3_small-2,1_resnet101-2,2_squeezenet1_0-8
mps-uncap,0.8,473.67768332917535,205.64948544076782,2699.2782188544634
mps-uncap,0.9,461.4020334285535,211.87161570113656,3047.94476629717
mps-uncap,1.0,473.53174922278527,210.67348862259325,3198.2546362412177
mps-uncap,0.5,388.2810421879178,135.40100280531576,1746.9053707550788
mps-uncap,0.6,474.2529060738134,158.65611181197656,1972.654296261295
mps-uncap,0.7,466.5745364919075,176.4339903612872,2353.926771871742
mps-uncap,0.1,77.69233305885524,26.355967032943806,342.580383674532
mps-uncap,0.2,159.80271680636454,50.19425053380883,700.8527807267801
mps-uncap,0.3,236.6908762506983,75.84985378160668,1029.600665714879
mps-uncap,0.4,317.55359213199205,103.87662993166151,1364.8689414252947
