mode,load,0_mobilenet_v3_small-2,1_resnet101-2,2_squeezenet1_0-8
mps-uncap,0.8,3.978252410888672,8.994340896606445,1.9307136535644531
mps-uncap,0.9,4.080772399902344,8.839130401611328,1.9419193267822266
mps-uncap,1.0,4.040718078613281,8.896112442016602,2.0186901092529297
mps-uncap,0.5,4.024267196655273,8.899211883544922,1.8186569213867188
mps-uncap,0.6,3.9658546447753906,8.913993835449219,1.9168853759765625
mps-uncap,0.7,4.045963287353516,8.94308090209961,1.8506050109863281
mps-uncap,0.1,3.9789676666259766,8.936643600463867,1.9674301147460938
mps-uncap,0.2,3.925323486328125,8.821487426757812,1.950979232788086
mps-uncap,0.3,3.930807113647461,8.790254592895508,1.9004344940185547
mps-uncap,0.4,3.9739608764648438,8.960962295532227,1.8503665924072266
