mode,load,0_densenet161-8,1_densenet161-8,2_densenet201-2
mps-uncap,0.8,0.010728836059570312,0.011920928955078125,0.010251998901367188
mps-uncap,0.9,0.01049041748046875,0.01239776611328125,0.010967254638671875
mps-uncap,1.0,0.012874603271484375,0.0171661376953125,0.01239776611328125
mps-uncap,0.5,0.012159347534179688,0.011682510375976562,0.010967254638671875
mps-uncap,0.6,0.011682510375976562,0.011920928955078125,0.011205673217773438
mps-uncap,0.7,0.01049041748046875,0.011444091796875,0.011444091796875
mps-uncap,0.1,0.018596649169921875,0.014781951904296875,0.02002716064453125
mps-uncap,0.2,0.013113021850585938,0.01239776611328125,0.0133514404296875
mps-uncap,0.3,0.013828277587890625,0.012159347534179688,0.011920928955078125
mps-uncap,0.4,0.01049041748046875,0.012159347534179688,0.012159347534179688
