mode,load,0_densenet201-8,1_mobilenet_v2-2,2_squeezenet1_1-8
mps-uncap,0.8,20.561695098876953,4.1637420654296875,2.056121826171875
mps-uncap,0.9,20.822882652282715,4.1408538818359375,1.9268989562988281
mps-uncap,1.0,20.885705947875977,4.11534309387207,1.9669532775878906
mps-uncap,0.5,20.567655563354492,4.106998443603516,2.0737648010253906
mps-uncap,0.6,20.89071273803711,4.127979278564453,1.9717216491699219
mps-uncap,0.7,20.94125747680664,4.128694534301758,1.9948482513427734
mps-uncap,0.1,22.82261848449707,8.981704711914062,3.938436508178711
mps-uncap,0.2,21.489620208740234,4.906654357910156,2.9790401458740234
mps-uncap,0.3,21.34418487548828,4.204273223876953,2.3899078369140625
mps-uncap,0.4,21.01755142211914,4.210233688354492,2.120494842529297
