mode,load,0_densenet201-8,1_mobilenet_v2-2,2_squeezenet1_1-8
mps-uncap,0.8,21.201276779174805,4.3087005615234375,2.764463424682617
mps-uncap,0.9,21.449780464172363,4.335474967956544,2.5700092315673833
mps-uncap,1.0,21.329879760742188,4.347229003906251,2.494335174560547
mps-uncap,0.5,21.269798278808594,4.395961761474609,2.8624773025512695
mps-uncap,0.6,21.63071632385254,4.392886161804199,2.6750564575195312
mps-uncap,0.7,21.677303314208984,4.365301132202148,2.7208089828491215
mps-uncap,0.1,35.89487075805664,9.65414047241211,4.152941703796387
mps-uncap,0.2,23.009061813354492,7.599258422851563,3.7272214889526367
mps-uncap,0.3,22.771811485290527,5.254507064819336,3.105020523071289
mps-uncap,0.4,21.965837478637695,4.674434661865234,2.7771949768066406
