mode,load,0_densenet201-8,1_mobilenet_v2-2,2_squeezenet1_1-8
mps-uncap,0.8,22.318735122680668,4.556174278259277,3.6515712738037047
mps-uncap,0.9,22.47468948364258,4.696235656738282,3.3901739120483394
mps-uncap,1.0,22.468626499176025,4.6080660820007315,3.1808376312255864
mps-uncap,0.5,22.34187126159668,4.958152770996094,4.24096822738647
mps-uncap,0.6,22.76987075805664,4.913723468780518,3.8446664810180673
mps-uncap,0.7,22.915911674499498,4.963302612304686,3.867738246917726
mps-uncap,0.1,38.163161277770996,10.032215118408203,4.479160308837891
mps-uncap,0.2,31.163413524627664,9.193282127380371,4.140985012054443
mps-uncap,0.3,24.31267738342285,7.1846008300781214,4.094729423522947
mps-uncap,0.4,23.54684829711914,5.448970794677734,3.834466934204101
