mode,load,0_densenet201-8,1_mobilenet_v2-2,2_squeezenet1_1-8
mps-uncap,0.8,20.20573616027832,4.029989242553711,1.6949176788330078
mps-uncap,0.9,20.487546920776367,3.993988037109375,1.7218589782714844
mps-uncap,1.0,20.616531372070312,3.9887428283691406,1.7435550689697266
mps-uncap,0.5,19.83642578125,3.9544105529785156,1.707315444946289
mps-uncap,0.6,20.38097381591797,3.990650177001953,1.7075538635253906
mps-uncap,0.7,20.440340042114258,3.9649009704589844,1.7197132110595703
mps-uncap,0.1,20.282268524169922,4.007577896118164,1.9633769989013672
mps-uncap,0.2,20.062923431396484,4.000186920166016,1.735687255859375
mps-uncap,0.3,20.353317260742188,3.947734832763672,1.7058849334716797
mps-uncap,0.4,20.203113555908203,4.049539566040039,1.6970634460449219
