mode,load,0_densenet201-8,1_mobilenet_v2-2,2_squeezenet1_1-8
mps-uncap,0.8,257.41024017333996,12178.519797325134,23.580408096313484
mps-uncap,0.9,3748.356938362122,16899.034929275513,203.27334403991708
mps-uncap,1.0,8803.113102912903,20561.58573627472,3058.155298233032
mps-uncap,0.5,43.918609619140625,19.29497718811035,4.79261875152588
mps-uncap,0.6,60.5618953704834,103.23426723480225,6.007909774780273
mps-uncap,0.7,121.7426300048828,5902.805280685425,11.79003715515137
mps-uncap,0.1,5.511283874511719,7.444000244140624,2.1663188934326207
mps-uncap,0.2,17.19231605529786,6.709337234497071,2.5577545166015634
mps-uncap,0.3,20.82431316375733,6.529569625854492,2.728176116943359
mps-uncap,0.4,29.60429191589357,11.920714378356934,3.0951499938964835
