mode,load,0_densenet201-8,1_mobilenet_v2-2,2_squeezenet1_1-8
mps-uncap,0.8,398.79580497741705,13167.044880390167,40.55725336074827
mps-uncap,0.9,3947.908923625946,18522.756395339966,339.93020534515375
mps-uncap,1.0,9837.546348571777,22522.4272108078,3204.682683944702
mps-uncap,0.5,99.48339462280275,39.46363925933838,14.537982940673821
mps-uncap,0.6,144.9824619293213,189.10812377929693,15.881586074829125
mps-uncap,0.7,243.02358627319325,6603.316640853882,29.051990509033246
mps-uncap,0.1,52.96089649200431,25.104656219482386,9.4573163986206
mps-uncap,0.2,57.00689792633055,21.125545501708977,9.801816940307605
mps-uncap,0.3,72.76607990264887,18.34125518798827,8.981070518493649
mps-uncap,0.4,81.8241024017334,27.87556648254393,9.468374252319334
