mode,load,0_densenet201-8,1_mobilenet_v2-2,2_squeezenet1_1-8
mps-uncap,0.8,359.9414838528923,476.1186883003805,3313.8642720355388
mps-uncap,0.9,381.501722942953,477.381022170775,3566.5266533408876
mps-uncap,1.0,381.12340904168605,479.70622990308004,3854.456088110343
mps-uncap,0.5,229.96227870070814,385.3645131757035,2063.49329081611
mps-uncap,0.6,266.38264619249884,460.0481591511321,2468.2980556433345
mps-uncap,0.7,321.2532702734148,477.1271268011773,2855.8207244904256
mps-uncap,0.1,44.095845952825016,74.78083900537361,407.38679405243244
mps-uncap,0.2,88.93180123143463,152.32144192031694,825.0042502748921
mps-uncap,0.3,135.0467500750571,223.81964927899995,1221.5589013873325
mps-uncap,0.4,181.368007981289,305.6291412064882,1638.13601831077
