mode,load,0_vgg19-32,1_inception_v3-16,2_squeezenet1_0-8
mps-uncap,1.0,36.71669960021973,66.23291969299316,30.51900863647461
mig,1.0,54.1079044342041,22.33147621154785,12.886524200439453
