mode,load,0_densenet161-16,1_densenet201-4,2_vgg13-4
mps-uncap,0.8,30.115127563476562,25.01678466796875,3.4761428833007812
mps-uncap,0.9,35.34245491027832,31.952857971191406,3.911256790161133
mps-uncap,1.0,38.47861289978027,38.37871551513672,4.074573516845703
mps-uncap,0.5,22.51565456390381,19.290447235107422,2.5777816772460938
mps-uncap,0.6,24.630308151245117,19.71566677093506,2.820253372192383
mps-uncap,0.7,26.788949966430664,20.0498104095459,3.2138824462890625
mps-uncap,0.1,23.201704025268555,21.41594886779785,2.562999725341797
mps-uncap,0.2,22.54629135131836,21.41261100769043,2.560138702392578
mps-uncap,0.3,20.70331573486328,21.09551429748535,2.562999725341797
mps-uncap,0.4,21.44622802734375,20.784854888916016,2.568960189819336
