mode,load,0_alexnet-4,1_alexnet-4,2_alexnet-4,3_alexnet-4
mig,0.1,4.184615612030029,4.505510330200195,4.358396530151367,8.366584777832045
mig,0.2,5.868272781372068,5.85097789764404,5.779385566711424,10.560984611511238
mig,0.3,7.548475265502933,8.03730964660644,7.809009552001946,13.177337646484363
mig,0.4,10.513908863067618,12.189366817474326,12.036008834838867,17.816677093505856
mig,0.5,15.163824558258064,17.178983688354496,14.56201553344727,22.263169288635254
mig,0.6,25.386571884155273,26.370615959167466,25.663588047027563,34.52639579772947
mig,0.7,166.90693140029907,191.75834655761716,189.01868581771853,41.501760482788086
mig,0.8,1095.1922702789307,1104.2713522911072,1195.8378314971922,111.52088642120361
mig,0.9,397.31801986694336,374.10029649734497,280.404291152954,658.1717109680175
mig,1.0,5254.093315601349,5224.94029045105,5211.444413661957,6335.229969024659
