mode,load,0_vgg11-2,1_vgg11-2,2_vgg11-2,3_vgg11-2
mig,0.1,46.80422732048352,46.10122741636078,48.22352637165555,23.43105035879295
mig,0.2,94.75360830277529,95.65130768659282,91.41151569832004,41.30375786847289
mig,0.3,138.42906697147026,142.4823262574329,143.03572119161103,67.28340385741241
mig,0.4,187.49195039439385,190.57656049634934,188.5822593116752,89.66571971769991
mig,0.5,233.79324326319667,234.99765215631086,234.42869240152046,111.11517652547441
mig,0.6,287.385578781238,283.18055104840306,286.80541572283687,133.03961046742663
mig,0.7,329.5273323623527,326.822782781195,337.24458557125547,160.48604319038992
mig,0.8,378.9069215987938,373.9217457039952,382.8726781036155,180.46689774882321
mig,0.9,428.51466359789083,430.2475206005685,432.1980821246253,203.4695665013362
mig,1.0,475.5277317702427,476.965613577907,474.538599239845,222.5155441468541
